Designator,Mid X,Mid Y,Rotation,Layer
C1,103.6,-99.07675,180.0,bottom
C10,93.2,-102.92325,0.0,bottom
C100,71.5,-63.0,180.0,top
C101,63.1,-60.0,270.0,top
C102,63.1,-62.0,90.0,top
C103,68.2,-63.6,180.0,top
C104,68.7,-61.0,90.0,bottom
C105,135.5,-62.6,180.0,top
C106,135.5,-92.6,180.0,top
C107,133.0,-109.1,90.0,top
C108,130.0,-79.0,90.0,top
C109,135.5,-77.6,180.0,top
C11,96.57675,-95.300001,90.0,bottom
C110,74.505,-63.535,270.0,top
C111,75.745001,-64.105,270.0,top
C112,75.205,-108.535,270.0,top
C113,76.445001,-109.105,270.0,top
C114,132.015,-96.045001,270.0,top
C115,133.245,-96.605,270.0,top
C116,131.655,-65.745,180.0,top
C117,135.005,-64.665,0.0,top
C118,131.975,-81.045,270.0,top
C119,133.205,-81.575,270.0,top
C12,103.87675,-93.8,90.0,bottom
C120,135.015,-111.045,270.0,top
C121,136.245,-111.605,270.0,top
C122,134.455,-125.745,180.0,top
C123,137.035,-125.404999,270.0,top
C124,134.991924,-141.155563,270.0,top
C125,136.225,-141.705,270.0,top
C13,107.9,-102.17675,180.0,bottom
C14,93.9,-100.42325,0.0,bottom
C15,102.67675,-96.8,90.0,bottom
C16,104.2,-103.07675,180.0,bottom
C17,96.9,-100.22325,0.0,bottom
C18,101.726749,-96.8,90.0,bottom
C19,104.2,-102.07675,180.0,bottom
C2,97.2,-99.22325,0.0,bottom
C20,96.916441,-101.757861,315.0,bottom
C21,99.17675,-96.700001,90.0,bottom
C22,104.2,-101.07675,180.0,bottom
C23,99.126749,-99.1,135.0,bottom
C24,96.711415,-103.404308,315.0,bottom
C25,98.17675,-96.700001,90.0,bottom
C26,104.2,-100.07675,180.0,bottom
C27,95.2,-98.92325,0.0,bottom
C28,93.2,-105.02325,0.0,bottom
C29,99.67675,-93.8,90.0,bottom
C3,97.2,-98.22325,0.0,bottom
C30,107.9,-104.17675,180.0,bottom
C31,93.8,-97.27675,0.0,bottom
C32,82.63571,-67.41429,270.0,top
C33,93.910711,-67.41429,270.0,top
C34,105.16071,-67.38929,270.0,top
C35,87.73571,-63.41429,180.0,top
C36,99.010711,-63.41429,180.0,top
C37,110.260711,-63.38929,180.0,top
C38,88.83571,-69.11429,90.0,top
C39,100.110711,-69.114289,90.0,top
C4,100.77675,-97.2,90.0,bottom
C40,111.360711,-69.08929,90.0,top
C41,90.83571,-69.11429,90.0,top
C42,102.11071,-69.11429,90.0,top
C43,113.360711,-69.089291,90.0,top
C44,106.366548,-124.881981,270.0,top
C45,94.4,-89.3,90.0,top
C46,110.443503,-124.250609,315.0,top
C47,108.558578,-124.104163,315.0,top
C48,102.594975,-113.969288,180.0,bottom
C49,103.694974,-112.569289,180.0,bottom
C5,99.54573,-103.162887,315.0,bottom
C50,71.499999,-122.7,180.0,top
C51,63.1,-120.0,270.0,top
C52,63.1,-122.0,90.0,top
C53,68.2,-123.6,180.0,top
C54,68.7,-121.0,90.0,bottom
C55,74.4,-123.6,270.0,top
C56,75.4,-123.6,270.0,top
C57,74.900001,-121.0,90.0,bottom
C58,71.499999,-137.7,180.0,top
C59,63.1,-135.0,270.0,top
C6,102.0,-103.67675,180.0,bottom
C60,63.1,-137.0,90.0,top
C61,68.2,-138.6,180.0,top
C62,74.900001,-136.0,90.0,bottom
C63,75.4,-138.6,270.0,top
C64,74.4,-138.6,270.0,top
C65,68.7,-136.0,90.0,bottom
C66,91.199999,-128.500001,270.0,top
C67,88.5,-136.9,0.0,top
C68,90.5,-136.900001,180.0,top
C69,92.1,-125.6,0.0,top
C7,102.0,-102.37675,180.0,bottom
C70,89.5,-131.3,0.0,bottom
C71,92.1,-131.8,270.0,top
C72,92.1,-124.6,0.0,top
C73,89.5,-125.099999,0.0,bottom
C74,71.499998,-77.699998,180.0,top
C75,63.1,-75.0,270.0,top
C76,63.099998,-76.999999,90.0,top
C77,68.2,-78.6,180.0,top
C78,74.9,-75.999998,90.0,bottom
C79,74.399999,-78.6,270.0,top
C8,98.8,-101.72675,180.0,bottom
C80,75.399999,-78.599999,270.0,top
C81,68.699998,-75.999999,90.0,bottom
C82,71.499998,-92.699998,180.0,top
C83,63.1,-90.0,270.0,top
C84,63.099998,-91.999999,90.0,top
C85,74.399999,-93.6,270.0,top
C86,74.9,-90.999998,90.0,bottom
C87,75.399999,-93.599999,270.0,top
C88,68.2,-93.6,180.0,top
C89,68.699998,-90.999999,90.0,bottom
C9,107.9,-97.67675,180.0,bottom
C90,114.730504,-63.829864,270.0,bottom
C91,122.230505,-56.479864,180.0,bottom
C92,121.930503,-60.279864,90.0,bottom
C93,119.720136,-63.230505,0.0,bottom
C94,123.930505,-60.279864,90.0,bottom
C95,71.4,-107.8,180.0,top
C96,63.1,-105.0,270.0,top
C97,63.1,-107.0,90.0,top
C98,68.2,-108.6,180.0,top
C99,68.7,-106.0,90.0,bottom
D1,105.3,-78.7,135.0,top
D10,115.734466,-113.634467,180.0,top
D11,115.734465,-111.434464,180.0,top
D12,115.734466,-109.234465,180.0,top
D13,115.734466,-107.034468,180.0,top
D15,115.734466,-114.734466,180.0,top
D16,115.734466,-112.534466,180.0,top
D17,115.734466,-110.334466,180.0,top
D18,115.734466,-108.134466,180.0,top
D19,115.734466,-105.934466,180.0,top
D2,103.9,-58.6,90.0,top
D3,100.012132,-78.605025,135.0,top
D4,95.200001,-78.6,135.0,top
D5,100.0,-142.2,180.0,bottom
D6,113.6,-140.099999,270.0,top
D7,107.1,-129.2,90.0,bottom
D8,105.2,-129.2,90.0,bottom
D9,115.734466,-115.834467,180.0,top
FB1,107.9,-95.77675,180.0,bottom
FB10,71.9,-64.4,0.0,top
FB11,130.7,-109.6,0.0,top
FB12,127.7,-79.4,0.0,top
FB2,113.5,-134.699999,90.0,top
FB3,71.900001,-124.1,0.0,top
FB4,71.900001,-139.1,0.0,top
FB5,92.6,-128.1,90.0,top
FB6,71.9,-79.099999,0.0,top
FB7,71.9,-94.099999,0.0,top
FB8,112.630503,-59.979864,180.0,bottom
FB9,71.9,-109.2,0.0,top
FID1,134.6,-74.3,0.0,top
FID2,64.5,-65.8,0.0,top
FID3,64.4,-125.7,0.0,top
FID4,135.6,-74.3,180.0,bottom
FID5,65.5,-65.8,180.0,bottom
FID6,65.4,-125.7,180.0,bottom
IC1,68.7,-121.0,0.0,top
IC10,74.9,-90.999998,270.0,top
IC11,68.7,-106.0,0.0,top
IC12,68.7,-61.0,0.0,top
IC2,74.900001,-121.0,270.0,top
IC3,68.7,-136.0,0.0,top
IC4,74.900001,-136.0,270.0,top
IC5,89.5,-131.3,90.0,top
IC6,89.5,-125.099999,0.0,top
IC7,68.699998,-75.999999,0.0,top
IC8,74.9,-75.999998,270.0,top
IC9,68.699998,-90.999999,0.0,top
J1,98.73,-58.8,180.0,top
J2,106.7,-142.1,0.0,top
L1,85.73571,-70.01429,0.0,top
L2,97.010711,-70.01429,0.0,top
L3,108.26071,-69.989289,0.0,top
R10,110.26071,-65.38929,0.0,top
R100,64.5,-61.5,0.0,top
R101,66.0,-60.0,270.0,top
R102,66.0,-62.0,90.0,top
R103,71.499999,-61.1,270.0,top
R104,73.000001,-60.6,0.0,top
R105,73.0,-61.6,0.0,top
R106,73.5,-59.1,90.0,top
R107,77.4,-60.3,270.0,top
R108,131.0,-123.6,270.0,top
R109,132.5,-123.1,0.0,top
R11,102.318881,-120.020101,315.0,top
R110,132.5,-124.1,0.0,top
R111,134.9,-121.4,0.0,top
R112,137.4,-122.6,0.0,top
R113,131.1,-138.599999,270.0,top
R114,132.6,-138.1,0.0,top
R115,132.6,-139.1,0.0,top
R116,135.0,-136.4,0.0,top
R117,137.4,-137.6,0.0,top
R118,128.1,-93.5,270.0,top
R119,128.1,-63.7,270.0,top
R12,104.133096,-118.205886,135.0,top
R120,129.599999,-93.0,0.0,top
R121,129.6,-94.0,0.0,top
R122,129.6,-63.2,0.0,top
R123,129.6,-64.2,0.0,top
R124,132.012133,-91.322183,0.0,top
R125,132.1,-61.4,0.0,top
R126,137.4,-92.6,0.0,top
